50,4,386,401
51,1,363,327
51,2,440,328
51,3,405,370
51,4,383,401
52,1,363,327
52,2,442,326
52,3,406,370
52,4,385,401
53,1,363,327
53,2,442,326
53,3,406,370
53,4,386,400
54,1,363,327
54,2,441,329
54,3,405,371
54,4,385,399
55,1,363,327
55,2,441,329
55,3,405,371
55,4,385,399
56,1,363,327
56,2,441,329
56,3,405,371
56,4,385,399
57,1,363,327
57,2,440,328
57,3,405,371
57,4,386,401
58,1,362,327
58,2,439,328
58,3,403,373
58,4,384,401
59,1,362,327
59,2,439,328
59,3,403,373
59,4,384,401
60,1,362,327
60,2,439,328
60,3,403,373
60,4,384,401
61,1,363,328
61,2,438,332
61,3,403,374
61,4,384,401
62,1,362,328
62,2,439,329
62,3,403,374
62,4,384,402
63,1,362,328
63,2,439,329
63,3,403,374
63,4,382,400
64,1,362,328
64,2,439,329
64,3,405,374
64,4,384,402
65,1,362,328
65,2,436,329
65,3,405,374
65,4,384,402
66,1,364,329
66,2,435,330
66,3,403,374
66,4,382,402
67,1,359,329
67,2,432,331
67,3,398,370
67,4,380,401
68,1,357,329
68,2,430,331
68,3,396,370
68,4,377,405
69,1,355,330
69,2,431,330
69,3,394,374
69,4,376,405
70,1,355,331
70,2,432,333
70,3,394,375
70,4,374,405
71,1,355,332
71,2,431,334
71,3,393,376
71,4,374,407
72,1,354,334
72,2,429,336
72,3,393,378
72,4,375,409
73,1,355,336
73,2,429,339
73,3,394,380
73,4,376,410
74,1,355,336
74,2,428,339
74,3,393,381
74,4,376,410
75,1,355,337
75,2,427,338
75,3,394,383
75,4,374,410
76,1,355,337
76,2,429,339
76,3,395,384
76,4,374,411
77,1,355,338
77,2,429,340
77,3,394,384
77,4,374,411
78,1,355,337
78,2,427,335
78,3,395,383
78,4,375,414
79,1,355,336
79,2,431,336
79,3,392,384
79,4,375,413
80,1,355,335
80,2,430,339
80,3,392,383
80,4,377,409
81,1,355,335
81,2,429,337
81,3,392,383
81,4,377,409
82,1,355,335
82,2,428,338
82,3,392,383
82,4,377,408
83,1,355,335
83,2,427,337
83,3,392,383
83,4,377,408
84,1,355,335
84,2,430,337
84,3,392,383
84,4,378,408
85,1,355,334
85,2,433,334
85,3,392,383
85,4,375,408
86,1,355,334
86,2,433,334
86,3,392,383
86,4,377,408
87,1,355,334
87,2,433,334
87,3,392,383
87,4,377,408
88,1,355,334
88,2,434,334
88,3,392,383
88,4,377,408
89,1,355,334
89,2,433,335
89,3,392,383
89,4,377,408
90,1,355,334
90,2,433,335
90,3,392,383
90,4,377,408
91,1,355,334
91,2,433,335
91,3,392,383
91,4,375,408
92,1,355,334
92,2,433,335
92,3,392,383
92,4,375,408
93,1,355,334
93,2,432,336
93,3,392,383
93,4,377,408
94,1,355,334
94,2,432,336
94,3,392,383
94,4,377,408
95,1,355,334
95,2,432,336
95,3,392,383
95,4,377,408
96,1,355,334
96,2,432,336
96,3,392,383
96,4,377,408
97,1,355,334
97,2,432,336
97,3,392,383
97,4,376,408
98,1,355,334
98,2,431,335
98,3,392,383
98,4,375,408
99,1,355,334
99,2,433,337
99,3,392,383
99,4,377,407
100,1,355,334
100,2,430,336
100,3,392,383
100,4,377,407
101,1,355,334
101,2,433,335
101,3,392,383
101,4,377,409
102,1,355,334
102,2,433,335
102,3,392,383
102,4,375,409
103,1,355,334
103,2,433,335
103,3,392,383
103,4,377,409
